employee_id,region,department_id,job_id,salary,join_date
201,华东,10.0,SA_MAN,26000,2021-03-15
202,华北,20.0,IT_PROG,18000,2022-07-01
203,华南,20.0,IT_PROG,19500,2023-01-10
204,华东,30.0,MK_REP,15000,2024-05-18
205,华北,,SA_REP,12000,2024-07-02
206,华南,10.0,SA_REP,13500,2023-10-11
207,华东,40.0,HR_REP,12500,2022-12-05
207,华东,40.0,HR_REP,12500,2022-12-05
208,西北,60.0,OP_MANAGER,20500,2021-04-02
209,华北,60.0,OP_COORD,14500,2022-05-14
210,华东,20.0,IT_PROG,24000,2023-05-17
211,华东,60.0,OP_MANAGER,20500,2022-07-08
212,西南,70.0,CS_REP,10000,2023-11-30
213,华中,20.0,IT_PROG,21000,2020-07-28
214,华东,30.0,MK_MAN,22000,2024-07-10
215,华东,50.0,FI_ACCOUNT,18000,2020-06-10
216,西南,60.0,OP_MANAGER,26000,2021-01-28
217,西北,60.0,OP_COORD,16000,2021-08-15
218,华东,70.0,CS_REP,12000,2021-07-23
219,华中,30.0,MK_REP,13500,2021-12-28
220,华北,60.0,OP_COORD,14500,2023-07-24
221,华北,20.0,IT_PROG,23000,2022-02-16
222,华南,60.0,OP_COORD,15000,2021-10-26
223,华东,10.0,SA_REP,12000,2021-07-02
224,华东,50.0,FI_MANAGER,23000,2023-09-04
225,华中,60.0,OP_MANAGER,19000,2021-06-26
226,华北,50.0,FI_MANAGER,29000,2022-05-27
227,西南,20.0,IT_PROG,24000,2022-10-07
228,华东,70.0,CS_REP,10000,2023-07-09
229,华北,40.0,HR_REP,13000,2022-02-20
230,西南,50.0,FI_MANAGER,28500,2024-10-28
231,华东,10.0,SA_REP,15000,2023-08-05
232,华南,40.0,HR_REP,13500,2020-01-07
233,西北,30.0,MK_REP,15000,2025-02-12
234,华东,30.0,MK_REP,12000,2022-02-04
235,华北,70.0,CS_REP,13500,2021-10-25
236,华中,,CS_LEAD,21000,2024-12-04
237,华南,20.0,DATA_ENG,19000,2020-06-24
238,西北,10.0,SA_MAN,24000,2023-09-13
239,华中,20.0,IT_ARCH,32000,2024-11-21
240,西南,20.0,DATA_ENG,30000,2024-02-03
241,西北,30.0,MK_MAN,23500,2022-06-16
242,西南,20.0,IT_PROG,17000,2021-11-23
243,华东,20.0,DATA_ENG,21500,2020-01-15
244,华东,10.0,SA_MAN,23000,2025-01-28
245,华东,10.0,SA_MAN,26000,2023-10-02
246,华中,20.0,DATA_ENG,27000,2023-03-26
247,华中,40.0,HR_MAN,19000,2020-07-12
248,华东,30.0,MK_MAN,24500,2022-08-14
249,西北,60.0,OP_COORD,10000,2022-04-04
250,西北,70.0,CS_REP,10500,2021-01-27
251,华北,20.0,IT_ARCH,26500,2021-07-24
252,华中,10.0,SA_REP,15000,2024-10-30
253,西南,60.0,OP_COORD,10500,2025-03-12
254,华北,40.0,HR_MAN,19000,2024-11-05
255,华中,20.0,IT_ARCH,24000,2022-03-10
256,华南,70.0,CS_LEAD,16000,2022-05-16
257,西北,70.0,CS_LEAD,15000,2021-01-23
258,华南,10.0,SA_MAN,27000,2020-04-27
259,华东,50.0,FI_ACCOUNT,12500,2022-11-06
260,华东,10.0,SA_MAN,25500,2022-04-06
261,华东,50.0,FI_ACCOUNT,12500,2023-06-22
262,华东,50.0,FI_MANAGER,24000,2021-02-22
